date,identifiant,mobilite,taux_de_variation,type
2021-04-01 17:01:08.903488,0,stop,-0.992173783457054,8
2021-04-01 17:01:08.903488,1,en mouvement,1.1293657035833373,3
2021-04-01 17:01:08.903488,2,stop,-0.24209388260406328,3
2021-04-01 17:01:08.903488,3,stop,0.0,3
2021-04-01 17:01:08.903488,4,en mouvement,0.8537739202403388,3
2021-04-01 17:01:08.903488,5,stop,-0.025395988559124394,3
2021-04-01 17:01:08.903488,6,stop,-0.36909975610017687,3
2021-04-01 17:01:08.903488,7,en mouvement,0.8599340200514796,3
2021-04-01 17:01:08.903488,8,stop,0.022855483612102212,3
2021-04-01 17:01:08.903488,9,stop,-0.018015519258992807,3
